Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,65.375,65.5,59.875,60.0625,44.629554748535156,2610400
2000-01-03,70.0,70.0,62.875,62.9375,46.765838623046875,22914900
2000-01-04,62.0,64.125,57.6875,58.125,43.18988800048828,15052600
2000-01-05,59.1875,60.6875,58.25,60.125,44.676002502441406,15071400
2000-01-06,60.75,61.9375,60.25,61.125,45.419044494628906,11118400
2000-01-07,62.75,68.5,62.625,68.0,50.52753448486328,15953900
2000-01-10,69.5,72.6875,69.5,72.125,53.592613220214844,10555300
2000-01-11,72.0625,72.375,64.125,66.4375,49.36650085449219,14103100
2000-01-12,67.625,67.75,62.5625,63.5625,47.230247497558594,11576800
2000-01-13,64.75,67.75,63.8125,66.8125,49.6451530456543,10552600
2000-01-14,68.875,70.0,67.375,68.3125,50.75972366333008,8971200
2000-01-18,70.0,70.125,68.25,69.0625,51.31700897216797,8658100
2000-01-19,70.0,72.9375,69.875,72.0,53.49973678588867,12070900
2000-01-20,74.375,74.5,69.625,71.8125,53.36039733886719,9460900
2000-01-21,73.375,75.0,72.0,74.6875,55.496681213378906,8154300
2000-01-24,75.875,76.5,69.125,69.25,51.45633316040039,9853500
2000-01-25,70.75,70.8125,66.0,69.375,51.549224853515625,11251900
2000-01-26,67.875,68.875,64.0625,64.125,47.648193359375,16000800
2000-01-27,65.0,65.0625,59.125,61.375,45.604801177978516,14797000
2000-01-28,61.4375,61.4375,59.375,59.6875,44.35090255737305,10899900
2000-01-31,61.0,63.875,59.875,63.6875,47.3231086730957,12619500
2000-02-01,64.75,66.0,62.75,65.3125,48.53057098388672,9902700
2000-02-02,65.125,65.125,61.875,63.6875,47.3231086730957,9976900
2000-02-03,64.75,65.0,62.375,64.0,47.555320739746094,7613000
2000-02-04,64.75,66.5,64.125,64.625,48.01972198486328,8069600
2000-02-07,66.5,69.5625,65.125,69.1875,51.40988540649414,9190200
2000-02-08,70.375,72.1875,69.1875,70.5,52.38515090942383,11108300
2000-02-09,71.25,71.5,66.625,66.8125,49.6451530456543,7774100
2000-02-10,67.375,67.5,64.5,65.1875,48.43769836425781,8880100
2000-02-11,65.3125,66.3125,61.9375,62.625,46.53361892700195,8105000
2000-02-14,63.5625,65.875,61.5,65.0625,48.344818115234375,8794600
2000-02-15,65.25,65.75,64.1875,65.0625,48.344818115234375,8358400
2000-02-16,65.125,70.0,64.75,69.875,51.920738220214844,11654800
2000-02-17,70.1875,74.0,69.9375,72.75,54.05701446533203,14842800
2000-02-18,74.5,75.0,69.9375,71.3125,52.988887786865234,14959700
2000-02-22,71.6875,71.9375,66.375,67.5,50.156005859375,8657100
2000-02-23,68.6875,72.125,67.125,71.4375,53.08175277709961,9098600
2000-02-24,72.125,73.1875,68.453125,72.5625,53.91769790649414,9630100
2000-02-25,73.0,74.0,70.125,73.5625,54.66073226928711,8556500
2000-02-28,72.875,72.875,66.5,68.4375,50.85261154174805,13264800
2000-02-29,70.25,70.5,67.125,68.1875,50.6668586730957,8593500
2000-03-01,67.0,67.25,64.8125,65.0625,48.344818115234375,10212300
2000-03-02,65.3125,67.875,63.0,65.3125,48.53057098388672,12075000
2000-03-03,66.875,67.875,65.0,66.3125,49.273624420166016,10481000
2000-03-06,66.875,66.875,63.3125,64.5625,47.97328567504883,12645900
2000-03-07,65.4375,65.5,60.5,61.0,45.326168060302734,12739800
2000-03-08,63.0,63.375,60.6875,61.375,45.604801177978516,15595000
2000-03-09,61.5625,61.6875,58.875,59.0,43.84007263183594,10935000
2000-03-10,60.0,63.375,58.75,59.5625,44.25802230834961,16043800
2000-03-13,58.1875,60.25,58.0,58.0,43.09701156616211,10081100
2000-03-14,59.875,60.0,51.0625,52.25,38.824459075927734,27589100
2000-03-15,57.1875,59.375,56.0,58.5,43.468544006347656,33529500
2000-03-16,62.5,65.5,61.125,64.75,48.11260223388672,18216200
