Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,23.71875,23.75,23.5,23.71875,14.023747444152832,456200
2000-01-03,23.5,23.75,23.03125,23.1875,13.70964527130127,906400
2000-01-04,22.875,23.0,22.21875,22.3125,13.192293167114258,1060000
2000-01-05,22.375,23.25,22.1875,22.40625,13.247724533081055,1087400
2000-01-06,22.53125,23.65625,22.4375,23.0,13.598784446716309,1002400
2000-01-07,23.03125,23.46875,22.625,23.0625,13.635734558105469,805800
2000-01-10,23.0,23.40625,22.84375,23.125,13.672685623168945,659200
2000-01-11,23.125,23.25,22.375,22.65625,13.395539283752441,813200
2000-01-12,22.78125,23.28125,22.34375,22.5,13.303159713745117,684000
2000-01-13,22.5,22.71875,22.28125,22.34375,13.210768699645996,500600
2000-01-14,22.4375,22.4375,20.0,21.28125,12.582569122314453,9517000
2000-01-18,21.28125,21.5,20.8125,21.5,12.711906433105469,1003400
2000-01-19,21.25,21.6875,21.0625,21.5625,12.748859405517578,1031400
2000-01-20,21.53125,21.5625,21.0,21.09375,12.471709251403809,1087400
2000-01-21,21.09375,21.21875,20.375,20.625,12.194557189941406,960200
2000-01-24,20.8125,20.8125,20.0625,20.0625,11.861979484558105,665800
2000-01-25,20.1875,20.59375,19.65625,19.90625,11.769598960876465,641600
2000-01-26,20.0,20.21875,19.625,20.09375,11.880457878112793,998200
2000-01-27,20.0625,20.0625,19.5,19.71875,11.65873908996582,623600
2000-01-28,19.625,19.625,18.875,18.875,11.159872055053711,1407600
2000-01-31,19.25,21.40625,19.21875,21.25,12.564094543457031,1982400
2000-02-01,21.125,21.25,20.125,20.28125,11.99132251739502,1198400
2000-02-02,20.25,20.75,20.1875,20.34375,12.028273582458496,1300000
2000-02-03,20.46875,20.90625,20.46875,20.6875,12.231514930725098,975200
2000-02-04,20.8125,20.9375,20.5,20.75,12.26846694946289,786800
2000-02-07,20.5625,20.75,20.4375,20.5,12.120657920837402,627800
2000-02-08,20.5,21.09375,20.5,21.09375,12.471709251403809,887600
2000-02-09,20.9375,21.15625,20.78125,20.875,12.34237003326416,911200
2000-02-10,20.75,21.0625,20.59375,21.0,12.416282653808594,1077600
2000-02-11,21.0,22.71875,20.9375,21.375,12.638002395629883,2209200
2000-02-14,21.375,21.5,20.78125,21.21875,12.545619010925293,885200
2000-02-15,21.125,22.0625,21.125,21.90625,12.952099800109863,1211400
2000-02-16,22.125,22.59375,21.625,22.09375,13.062959671020508,1650000
2000-02-17,22.03125,22.53125,22.0,22.28125,13.173823356628418,838400
2000-02-18,22.25,22.6875,22.25,22.5625,13.340112686157227,1215400
2000-02-22,22.46875,23.625,22.1875,23.34375,13.802027702331543,1636000
