Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,7.859375,8.125,7.859375,8.125,7.704063892364502,161200
2000-01-03,8.140625,8.140625,7.984375,7.984375,7.570724010467529,422400
2000-01-04,7.984375,8.03125,7.90625,7.9375,7.526278018951416,252000
2000-01-05,7.90625,8.0625,7.90625,7.984375,7.570724010467529,409200
2000-01-06,7.96875,8.0625,7.9375,8.023438453674316,7.6077656745910645,502800
2000-01-07,8.0625,8.21875,8.0625,8.203125,7.778141498565674,257600
2000-01-10,8.25,8.28125,8.0625,8.25,7.822587490081787,200000
2000-01-11,8.21875,8.21875,8.171875,8.21875,7.792956829071045,114400
2000-01-12,8.234375,8.234375,8.0,8.046875,7.6299872398376465,63200
2000-01-13,8.046875,8.203125,8.015625,8.09375,7.674431800842285,176400
2000-01-14,8.09375,8.140625,8.078125,8.109375,7.689247131347656,172800
2000-01-18,8.15625,8.15625,7.859375,7.90625,7.496645927429199,430800
2000-01-19,7.875,8.078125,7.875,7.9375,7.526278018951416,231200
2000-01-20,7.9375,7.984375,7.75,7.78125,7.378122806549072,434400
2000-01-21,7.71875,7.734375,7.453125,7.5,7.111443042755127,450000
2000-01-24,7.5,7.640625,7.453125,7.46875,7.081813335418701,344800
2000-01-25,7.34375,7.40625,7.296875,7.359375,6.9781036376953125,349600
2000-01-26,7.359375,7.5,7.359375,7.40625,7.022550106048584,437200
2000-01-27,7.40625,7.515625,7.375,7.4375,7.052181720733643,490400
2000-01-28,7.46875,7.5,7.4375,7.4375,7.052181720733643,620400
2000-01-31,7.46875,7.5,7.375,7.375,6.992918968200684,474800
2000-02-01,7.375,7.59375,7.265625,7.578125,7.185521125793457,686400
2000-02-02,7.578125,7.796875,7.578125,7.75,7.34849214553833,586800
2000-02-03,7.734375,7.875,7.703125,7.734375,7.333674907684326,473200
2000-02-04,7.71875,7.828125,7.65625,7.734375,7.333674907684326,236000
2000-02-07,7.796875,7.796875,7.71875,7.734375,7.333674907684326,336000
2000-02-08,7.71875,7.734375,7.515625,7.546875,7.155889987945557,314800
2000-02-09,7.609375,7.609375,7.484375,7.484375,7.0966267585754395,512800
2000-02-10,7.421875,7.484375,7.265625,7.28125,6.904026985168457,480800
2000-02-11,7.28125,7.421875,7.171875,7.171875,6.800318241119385,447600
2000-02-14,7.1875,7.1875,7.0,7.078125,6.711425304412842,390800
2000-02-15,7.109375,7.140625,6.96875,7.125,6.755871295928955,292800
2000-02-16,7.125,7.21875,7.0,7.140625,6.770686149597168,326800
2000-02-17,7.125,7.25,7.09375,7.140625,6.770686149597168,395200
2000-02-18,7.078125,7.078125,6.9375,7.0,6.63734769821167,168400
2000-02-22,7.0625,7.21875,6.984375,7.203125,6.829949378967285,386000
2000-02-23,7.203125,7.203125,6.875,6.921875,6.56326961517334,260800
2000-02-24,6.984375,7.046875,6.875,6.921875,6.56326961517334,152000
2000-02-25,6.921875,6.9375,6.828125,6.859375,6.504007816314697,94800
2000-02-28,6.828125,6.84375,6.75,6.84375,6.489192008972168,169600
2000-02-29,6.96875,7.0625,6.890625,7.015625,6.652163505554199,452000
2000-03-01,7.015625,7.15625,7.0,7.109375,6.741056442260742,236800
2000-03-02,7.140625,7.140625,7.0625,7.125,6.755871295928955,248400
2000-03-03,7.140625,7.140625,6.875,6.984375,6.622531890869141,326000
2000-03-06,6.953125,7.015625,6.921875,7.0,6.63734769821167,688800
2000-03-07,7.015625,7.046875,6.78125,6.78125,6.429929733276367,130400
2000-03-08,6.8125,6.859375,6.796875,6.84375,6.489192008972168,318000
2000-03-09,6.90625,7.046875,6.90625,7.0,6.63734769821167,329600
2000-03-10,6.96875,7.0,6.9375,6.953125,6.59290075302124,378400
2000-03-13,6.90625,6.953125,6.8125,6.8125,6.459561824798584,238800
2000-03-14,6.8125,6.8125,6.6875,6.734375,6.385483741760254,375600
2000-03-15,6.671875,6.9375,6.546875,6.90625,6.5484538078308105,426000
2000-03-16,6.9375,7.625,6.9375,7.515625,7.126260757446289,706400
2000-03-17,7.515625,7.65625,7.4375,7.484375,7.0966267585754395,361200
2000-03-20,7.546875,7.921875,7.53125,7.53125,7.141074180603027,765600
2000-03-21,7.484375,7.484375,7.203125,7.328125,6.9484734535217285,323200
2000-03-22,7.34375,7.34375,7.1875,7.3125,6.933658123016357,502800
2000-03-23,7.28125,7.671875,7.265625,7.640625,7.244783401489258,409600
2000-03-24,7.578125,7.6875,7.484375,7.65625,7.259598731994629,346400
2000-03-27,7.625,7.71875,7.46875,7.625,7.229966640472412,254000
2000-03-28,7.5625,7.609375,7.421875,7.515625,7.126260757446289,161600
2000-03-29,7.5,7.59375,7.40625,7.515625,7.126260757446289,256800
2000-03-30,7.546875,7.71875,7.546875,7.625,7.229966640472412,285600
2000-03-31,7.640625,8.0625,7.53125,7.96875,7.555908203125,725200
2000-04-03,8.0,8.078125,7.875,7.96875,7.555908203125,226000
2000-04-04,7.90625,7.90625,7.4375,7.59375,7.200336456298828,305200
2000-04-05,7.59375,7.640625,7.5,7.609375,7.215152263641357,342000
2000-04-06,7.609375,7.65625,7.492187976837158,7.625,7.229966640472412,487200
2000-04-07,7.65625,7.65625,7.53125,7.609375,7.215152263641357,166800
2000-04-10,7.609375,7.84375,7.578125,7.765625,7.363307952880859,627600
2000-04-11,7.734375,7.765625,7.71875,7.734375,7.333674907684326,254000
2000-04-12,7.734375,7.796875,7.71875,7.734375,7.333674907684326,186800
2000-04-13,7.734375,7.765625,7.703125,7.734375,7.333674907684326,192400
2000-04-14,7.671875,7.671875,7.453125,7.546875,7.155889987945557,252800
2000-04-17,7.546875,7.609375,7.421875,7.46875,7.081813335418701,282800
2000-04-18,7.4375,7.53125,7.390625,7.5,7.111443042755127,100000
2000-04-19,7.53125,7.703125,7.515625,7.703125,7.3040452003479,165200
2000-04-20,7.703125,7.703125,7.515625,7.6875,7.289229393005371,118000
2000-04-24,7.65625,7.671875,7.453125,7.453125,7.066996097564697,84000
2000-04-25,7.40625,7.453125,7.34375,7.40625,7.022550106048584,354800
2000-04-26,7.4375,7.796875,7.4375,7.75,7.34849214553833,380400
2000-04-27,7.6875,7.71875,7.625,7.6875,7.289229393005371,144400
2000-04-28,7.6875,7.84375,7.578125,7.828125,7.422569751739502,348400
2000-05-01,7.8125,7.953125,7.796875,7.828125,7.422569751739502,261200
2000-05-02,7.734375,7.921875,7.71875,7.75,7.34849214553833,229200
2000-05-03,7.75,7.796875,7.625,7.796875,7.39293909072876,477600
2000-05-04,7.828125,8.0,7.765625,7.9375,7.526278018951416,894400
2000-05-05,7.953125,8.4375,7.953125,8.4375,8.000373840332031,725600
2000-05-08,8.375,8.46875,8.375,8.421875,7.985559940338135,566000
2000-05-09,8.390625,8.390625,7.75,7.921875,7.51146125793457,1351200
2000-05-10,7.75,7.796875,7.671875,7.78125,7.378122806549072,994000
2000-05-11,7.84375,7.90625,7.84375,7.859375,7.452199459075928,349200
2000-05-12,7.859375,8.359375,7.859375,8.34375,7.91148042678833,945200
2000-05-15,8.3125,8.375,8.203125,8.34375,7.91148042678833,1074000
2000-05-16,8.40625,8.421875,8.28125,8.328125,7.896665573120117,526000
2000-05-17,8.375,8.40625,8.3125,8.375,7.9411115646362305,623600
2000-05-18,8.375,8.40625,8.34375,8.34375,7.91148042678833,232000
2000-05-19,8.28125,8.328125,8.21875,8.328125,7.896665573120117,178000
2000-05-22,8.328125,8.328125,8.140625,8.140625,7.718878746032715,301200
2000-05-23,8.171875,8.296875,8.109375,8.109375,7.689247131347656,352400
2000-05-24,8.125,8.34375,8.078125,8.34375,7.91148042678833,693600
2000-05-25,8.34375,8.40625,8.34375,8.359375,7.926296710968018,246400
2000-05-26,8.375,8.40625,8.3125,8.390625,7.955927848815918,212000
2000-05-30,8.4375,8.53125,8.4375,8.5,8.059635162353516,311600
2000-05-31,8.5,8.5,8.3125,8.3125,7.881849765777588,247200
2000-06-01,8.375,8.4375,8.359375,8.375,7.9411115646362305,398800
