Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,46.75,47.1875,46.5625,46.625,25.75164031982422,1371200
2000-01-03,46.5625,46.875,45.78125,46.09375,25.458219528198242,4642400
2000-01-04,45.5625,45.78125,44.375,44.40625,24.526193618774414,7822200
2000-01-05,44.40625,45.40625,44.21875,44.875,24.78508758544922,8229600
2000-01-06,45.15625,46.96875,45.0625,46.28125,25.561771392822266,5356400
2000-01-07,47.0625,48.46875,46.8125,48.25,26.64914321899414,9863800
2000-01-10,48.34375,48.46875,47.03125,47.03125,25.976015090942383,4928600
2000-01-11,46.5,47.46875,46.46875,47.1875,26.062320709228516,6153000
2000-01-12,46.9375,47.53125,46.59375,46.75,25.82067108154297,5163200
2000-01-13,46.96875,48.0,46.53125,46.6875,25.786157608032227,4659200
2000-01-14,46.96875,47.1875,46.40625,46.84375,25.872459411621094,5404800
2000-01-18,46.0,46.53125,45.53125,45.65625,25.216588973999023,4870000
2000-01-19,45.5,46.03125,45.3125,45.8125,25.302873611450195,5507400
2000-01-20,46.125,46.15625,45.03125,45.96875,25.38918113708496,4823400
2000-01-21,45.875,45.875,44.8125,44.9375,24.819608688354492,8538000
2000-01-24,45.0625,45.09375,41.78125,41.84375,23.110883712768555,11304200
2000-01-25,41.9375,43.46875,41.78125,42.625,23.542383193969727,12956800
2000-01-26,43.125,43.4375,41.53125,41.75,23.059112548828125,9491400
2000-01-27,41.875,41.96875,40.25,40.25,22.23063087463379,12406600
2000-01-28,40.4375,42.59375,40.4375,42.25,23.335269927978516,12340000
2000-01-31,42.59375,43.375,41.40625,43.03125,23.766752243041992,9055200
2000-02-01,42.71875,42.75,42.1875,42.40625,23.421567916870117,6079200
2000-02-02,42.75,43.15625,42.46875,42.6875,23.57689094543457,5791600
2000-02-03,42.5,42.5,40.9375,41.65625,23.007326126098633,10237200
2000-02-04,41.5625,41.8125,40.90625,41.0625,22.679384231567383,6906000
2000-02-07,40.78125,41.0,40.5,40.71875,22.48953628540039,5822000
2000-02-08,41.21875,41.5,40.625,41.03125,22.66212272644043,6125400
2000-02-09,41.03125,41.0625,39.84375,40.0,22.092561721801758,12422600
2000-02-10,39.90625,40.1875,38.75,39.0,21.54022979736328,11344800
2000-02-11,38.875,39.21875,37.96875,38.71875,21.46194076538086,10233200
2000-02-14,38.46875,39.125,38.34375,38.8125,21.513914108276367,7373000
2000-02-15,38.84375,40.125,38.75,39.84375,22.085540771484375,9863400
2000-02-16,40.125,40.3125,39.46875,39.90625,22.12018394470215,9247200
2000-02-17,40.46875,40.5625,39.375,39.59375,21.94696617126465,5774400
2000-02-18,39.25,39.46875,38.4375,38.71875,21.46194076538086,8246200
2000-02-22,39.0,39.53125,38.375,39.3125,21.79107093811035,7307400
2000-02-23,39.0625,39.15625,38.0625,38.0625,21.098180770874023,8293200
2000-02-24,37.5,37.625,36.0,36.875,20.43994903564453,18512800
2000-02-25,36.28125,36.3125,35.15625,36.0,19.954927444458008,13221400
2000-02-28,36.0,36.46875,35.03125,36.375,20.16278839111328,13537800
2000-02-29,36.625,36.71875,35.625,36.0,19.954927444458008,10183200
2000-03-01,36.125,36.6875,35.53125,36.6875,20.336009979248047,9397200
2000-03-02,36.5,37.46875,36.3125,36.84375,20.422632217407227,6793000
2000-03-03,37.125,37.125,36.125,36.75,20.370662689208984,5794600
2000-03-06,36.46875,36.46875,35.125,35.25,19.539213180541992,7631400
2000-03-07,35.25,35.25,33.0625,34.25,18.98491096496582,16526400
2000-03-08,33.84375,35.875,33.625,35.5,19.677780151367188,12836800
2000-03-09,35.5,36.5,34.96875,36.34375,20.14548110961914,9665400
2000-03-10,36.34375,36.875,34.9375,35.4375,19.643144607543945,8722200
2000-03-13,34.8125,35.78125,34.65625,35.0,19.400630950927734,5762600
2000-03-14,35.90625,37.3125,35.875,36.375,20.16278839111328,10342200
2000-03-15,36.125,39.09375,35.90625,38.46875,21.3233642578125,12020200
2000-03-16,39.9375,40.25,39.46875,39.90625,22.12018394470215,15359000
2000-03-17,39.65625,39.96875,39.09375,39.78125,22.05089569091797,11004200
2000-03-20,39.84375,39.96875,39.28125,39.65625,21.98160743713379,6755200
2000-03-21,39.0625,40.5,39.0625,40.125,22.24143409729004,8027600
2000-03-22,40.4375,41.125,39.84375,41.125,22.795738220214844,9983000
2000-03-23,40.625,40.96875,39.96875,40.0,22.17215347290039,10390000
2000-03-24,36.5,37.0,35.09375,36.125,20.02422523498535,38763600
2000-03-27,35.5,35.625,34.3125,34.875,19.33134651184082,22607600
