Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,9.5,9.5625,9.375,9.4375,7.063368320465088,2836600
2000-01-03,9.5625,9.625,9.375,9.46875,7.086760997772217,11339200
2000-01-04,9.40625,9.84375,9.375,9.78125,7.320648193359375,17990600
2000-01-05,9.71875,10.09375,9.6875,9.9375,7.437592029571533,15291000
2000-01-06,9.9375,9.9375,9.28125,9.5625,7.15692663192749,17686400
2000-01-07,9.5,9.625,9.34375,9.46875,7.086760997772217,13358200
2000-01-10,9.46875,9.46875,9.21875,9.21875,6.899652481079102,8824000
2000-01-11,8.96875,9.25,8.90625,9.15625,6.852877616882324,9792600
2000-01-12,9.125,9.53125,9.125,9.28125,6.946430683135986,6635800
2000-01-13,9.3125,9.59375,9.15625,9.5,7.110151290893555,11179800
2000-01-14,9.53125,9.5625,9.125,9.21875,6.899652481079102,6856800
2000-01-18,9.3125,9.3125,8.8125,9.0,6.735931873321533,9452200
2000-01-19,9.0,9.09375,8.875,9.0,6.735931873321533,5676200
2000-01-20,9.03125,9.03125,8.59375,8.6875,6.50204610824585,7137800
2000-01-21,8.71875,8.71875,8.34375,8.40625,6.2915496826171875,8151000
2000-01-24,8.5,8.5625,8.03125,8.15625,6.104438304901123,11600200
2000-01-25,8.09375,8.125,7.90625,8.0625,6.03427267074585,7716600
2000-01-26,8.03125,8.40625,8.03125,8.25,6.174605846405029,13237000
2000-01-27,8.4375,8.84375,8.40625,8.46875,6.33832311630249,14937000
2000-01-28,8.40625,8.5625,8.28125,8.28125,6.19799280166626,8821200
2000-01-31,8.46875,8.8125,8.40625,8.6875,6.50204610824585,8737600
2000-02-01,8.71875,8.875,8.59375,8.875,6.64237642288208,6502000
2000-02-02,8.84375,9.125,8.65625,9.09375,6.806098461151123,7734200
2000-02-03,9.125,9.25,8.8125,9.0,6.735931873321533,11771600
2000-02-04,8.875,8.90625,8.46875,8.8125,6.59559965133667,8523000
2000-02-07,8.46875,8.75,8.4375,8.46875,6.33832311630249,5190200
2000-02-08,8.5625,8.90625,8.5,8.90625,6.665764808654785,6891400
2000-02-09,8.8125,8.8125,8.46875,8.5,6.361711502075195,5223600
2000-02-10,8.5,8.6875,7.96875,8.09375,6.057661533355713,10187400
2000-02-11,8.21875,8.46875,8.125,8.375,6.268158912658691,8325200
2000-02-14,8.21875,8.25,7.9375,8.1875,6.1278276443481445,7594200
2000-02-15,8.15625,8.625,8.0625,8.5,6.361711502075195,7580000
2000-02-16,8.40625,8.5,8.09375,8.40625,6.2915496826171875,5244400
2000-02-17,8.25,8.3125,7.90625,7.96875,5.964105606079102,7695000
2000-02-18,7.9375,7.96875,7.5,7.5,5.613275051116943,8752400
2000-02-22,7.53125,7.75,7.5,7.59375,5.68344259262085,7441800
2000-02-23,7.53125,7.6875,7.4375,7.53125,5.636665344238281,9155800
2000-02-24,7.59375,7.625,7.1875,7.375,5.519721508026123,8360400
2000-02-25,7.1875,7.3125,7.03125,7.09375,5.3092241287231445,13766200
