Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,21.125,22.0,21.0,21.875,12.192449569702148,2689600
2000-01-03,22.0,22.3125,20.25,20.25,11.286725044250488,3011300
2000-01-04,20.0,21.3125,20.0,20.9375,11.669907569885254,3593500
2000-01-05,21.25,21.625,20.5,21.0625,11.739581108093262,1721200
2000-01-06,21.0,21.75,21.0,21.375,11.913762092590332,1750700
2000-01-07,21.75,22.0625,21.1875,21.4375,11.948596000671387,2203200
2000-01-10,21.375,21.5,20.5625,20.625,11.495735168457031,1361000
2000-01-11,20.5,20.75,19.75,19.9375,11.112542152404785,2236100
2000-01-12,20.0,21.25,20.0,21.1875,11.80925178527832,3562400
2000-01-13,21.4375,21.4375,20.5625,20.75,11.565402030944824,2871700
2000-01-14,20.75,20.9375,20.5,20.5,11.426066398620605,1609300
2000-01-18,21.0,21.25,19.75,20.0,11.147377014160156,3763800
2000-01-19,20.0625,20.75,20.0,20.6875,11.53056526184082,2270500
2000-01-20,20.5,20.6875,20.375,20.5625,11.460897445678711,2321600
2000-01-21,20.75,21.1875,20.625,21.0,11.704750061035156,2340600
2000-01-24,20.9375,21.0625,19.5625,19.5625,10.903528213500977,1917000
2000-01-25,19.5625,19.9375,19.125,19.25,10.729344367980957,2022500
2000-01-26,19.4375,20.0625,19.25,20.0625,11.182212829589844,2020300
2000-01-27,19.9375,20.0,19.0,19.4375,10.83385944366455,2236300
2000-01-28,19.0,19.9375,18.3125,18.875,10.520337104797363,2213200
2000-01-31,18.3125,18.875,18.1875,18.5,10.311321258544922,1528600
2000-02-01,18.75,18.875,18.375,18.6875,10.415827751159668,737300
2000-02-02,18.4375,18.8125,18.1875,18.6875,10.415827751159668,1633700
2000-02-03,18.625,18.9375,18.5,18.625,10.380998611450195,1830200
2000-02-04,18.75,19.3125,18.375,19.125,10.659680366516113,2012900
2000-02-07,19.25,19.5,18.25,18.75,10.450666427612305,1633700
2000-02-08,18.3125,18.375,17.875,18.375,10.241650581359863,2110300
2000-02-09,17.875,18.5,17.875,18.375,10.241650581359863,1863800
2000-02-10,18.0625,18.5,18.0625,18.3125,10.206817626953125,1814500
2000-02-11,18.125,18.3125,17.375,17.5,9.753957748413086,1821000
2000-02-14,17.75,18.125,17.5,18.0625,10.067474365234375,1839400
2000-02-15,18.0,18.1875,17.8125,18.125,10.102310180664062,1273200
2000-02-16,17.5,18.0625,17.5,17.75,9.893301010131836,1630600
2000-02-17,17.9375,18.25,17.8125,18.0,10.032644271850586,4412100
2000-02-18,17.75,17.875,17.0,17.4375,9.719121932983398,1651200
2000-02-22,17.0625,18.0,17.0625,18.0,10.032644271850586,1411100
2000-02-23,17.9375,17.9375,17.5,17.8125,9.928133964538574,1358100
2000-02-24,17.625,17.6875,17.1875,17.5625,9.788789749145508,1248100
2000-02-25,17.625,17.9375,17.5625,17.75,9.893301010131836,1691300
2000-02-28,17.5625,17.625,17.125,17.5,9.753957748413086,1022400
2000-02-29,17.4375,17.875,17.125,17.4375,9.719121932983398,1285400
2000-03-01,17.4375,17.6875,17.375,17.6875,9.858461380004883,1331700
2000-03-02,17.5,17.5625,17.0,17.125,9.604673385620117,1398200
2000-03-03,17.0625,17.1875,16.875,17.0,9.53456974029541,1733200
2000-03-06,17.75,18.25,17.75,18.0,10.09542465209961,3775600
2000-03-07,18.0,18.0,17.3125,17.3125,9.7098388671875,1289900
2000-03-08,17.25,17.625,17.25,17.625,9.885104179382324,2051400
2000-03-09,17.5,17.5,17.0,17.125,9.604673385620117,1706700
2000-03-10,17.125,17.125,16.6875,16.8125,9.429411888122559,2631700
2000-03-13,16.8125,17.0,16.625,16.9375,9.499512672424316,1434800
2000-03-14,17.0,17.0,16.5,16.625,9.324252128601074,1853600
2000-03-15,16.625,17.1875,16.5,17.125,9.604673385620117,4062700
2000-03-16,17.1875,18.25,17.0,18.0625,10.130473136901855,3771400
2000-03-17,18.0625,18.75,17.625,18.0,10.09542465209961,6524300
2000-03-20,18.0,18.0,17.625,17.765625,9.963976860046387,1103600
2000-03-21,17.25,17.625,17.0625,17.3125,9.7098388671875,1439200
2000-03-22,17.25,17.3125,16.9375,17.125,9.604673385620117,1424500
2000-03-23,17.0625,17.375,16.9375,17.0625,9.569622039794922,918700
2000-03-24,17.0625,17.75,17.0625,17.5,9.815000534057617,2166100
2000-03-27,17.5,17.875,17.25,17.8125,9.990265846252441,1698000
2000-03-28,18.25,19.1875,18.0625,18.75,10.516067504882812,3675900
2000-03-29,18.5625,19.25,18.3125,19.25,10.796493530273438,3296200
2000-03-30,19.75,21.25,19.5,20.875,11.707887649536133,4674400
2000-03-31,21.0625,21.0625,19.6875,20.4375,11.46251106262207,2365800
2000-04-03,20.0625,20.875,20.0625,20.4375,11.46251106262207,1050100
2000-04-04,21.0,21.6875,20.125,20.3125,11.39240837097168,2551700
2000-04-05,20.3125,21.625,20.3125,20.9375,11.74294662475586,1390500
2000-04-06,21.75,22.0625,20.625,21.1875,11.883156776428223,2202200
2000-04-07,21.3125,21.5,20.6875,21.0625,11.813050270080566,1330000
2000-04-10,20.5,21.1875,20.3125,21.125,11.848105430603027,1263400
2000-04-11,20.9375,21.1875,20.875,20.875,11.707887649536133,1365200
2000-04-12,20.9375,22.1875,20.9375,22.0625,12.373903274536133,2865000
2000-04-13,21.375,22.0,21.0625,21.625,12.128534317016602,3730500
2000-04-14,21.1875,21.25,20.375,20.6875,11.602726936340332,2415400
2000-04-17,20.625,21.3125,19.8125,21.3125,11.953261375427246,2157200
2000-04-18,21.125,21.125,20.625,21.0,11.777993202209473,1432900
2000-04-19,20.9375,21.25,20.8125,20.875,11.707887649536133,1112900
2000-04-20,21.75,22.875,21.5625,22.6875,12.724443435668945,2877000
2000-04-24,22.375,25.9375,22.3125,25.875,14.51217269897461,5205300
2000-04-25,25.875,26.4375,24.5,25.5625,14.33690357208252,5013300
2000-04-26,24.75,24.875,23.8125,24.125,13.530670166015625,3442200
2000-04-27,24.0,24.4375,23.375,23.875,13.390460014343262,1761100
2000-04-28,24.0,26.0625,24.0,24.875,13.951313972473145,3415700
2000-05-01,24.25,27.3125,24.125,27.0,15.143136978149414,2702000
2000-05-02,26.25,26.6875,26.0,26.0625,14.617332458496094,2304900
2000-05-03,25.8125,26.3125,25.375,25.5625,14.33690357208252,1438500
2000-05-04,25.5625,27.125,25.5,26.3125,14.757550239562988,1659000
2000-05-05,25.75,26.1875,25.625,26.1875,14.68743896484375,1751900
2000-05-08,26.0,26.25,25.75,26.0625,14.617332458496094,1038600
2000-05-09,25.8125,26.25,25.75,26.0,14.582279205322266,765900
2000-05-10,25.8125,26.25,25.75,26.0625,14.617332458496094,1188300
2000-05-11,26.0,26.4375,25.9375,26.1875,14.68743896484375,846200
2000-05-12,25.625,26.125,25.5625,25.8125,14.477116584777832,814300
2000-05-15,25.6875,25.9375,25.375,25.625,14.37195110321045,682000
2000-05-16,24.75,25.375,24.6875,25.1875,14.126588821411133,1051600
2000-05-17,24.9375,25.375,24.5,24.5625,13.77605152130127,2000700
2000-05-18,24.4375,25.1875,24.4375,24.875,13.951313972473145,2073900
2000-05-19,24.125,24.5625,23.625,24.3125,13.635836601257324,1286300
2000-05-22,24.375,24.6875,23.25,23.5625,13.215191841125488,1283800
2000-05-23,24.25,25.3125,23.625,25.125,14.091532707214355,1109300
2000-05-24,25.0,25.3125,24.5,25.0625,14.056478500366211,2029800
2000-05-25,24.8125,25.0625,24.0625,24.3125,13.635836601257324,822600
2000-05-26,24.5625,24.75,23.875,24.0625,13.495619773864746,501000
2000-05-30,24.3125,25.0,24.1875,24.75,13.94495677947998,1195400
2000-05-31,24.875,24.9375,23.8125,24.6875,13.909743309020996,947700
2000-06-01,24.375,25.0625,24.1875,25.0625,14.1210298538208,876900
2000-06-02,25.3125,26.0625,25.3125,25.9375,14.614029884338379,1608900
2000-06-05,25.9375,25.9375,25.5,25.875,14.578819274902344,1070800
2000-06-06,26.0,26.25,25.6875,25.9375,14.614029884338379,937000
2000-06-07,25.9375,25.9375,24.875,25.375,14.297101020812988,514400
2000-06-08,24.875,25.5,24.25,24.75,13.94495677947998,1071100
2000-06-09,24.875,25.4375,24.8125,25.3125,14.261890411376953,891100
2000-06-12,25.4375,25.9375,25.3125,25.5625,14.402743339538574,744500
2000-06-13,25.3125,25.375,24.8125,25.25,14.226675987243652,479200
2000-06-14,25.375,25.5,24.625,24.6875,13.909743309020996,668000
2000-06-15,25.125,25.3125,24.875,25.0,14.085816383361816,1635700
2000-06-16,25.0,25.0,24.3125,24.3125,13.698454856872559,878600
2000-06-19,24.4375,24.6875,23.9375,24.6875,13.909743309020996,731600
2000-06-20,24.6875,24.6875,23.75,24.5,13.804104804992676,812000
2000-06-21,24.4375,24.875,24.0,24.0,13.522383689880371,475900
2000-06-22,24.1875,24.1875,22.8125,23.6875,13.346307754516602,318500
2000-06-23,23.875,24.4375,23.6875,24.1875,13.628024101257324,1210100
2000-06-26,23.9375,25.1875,23.8125,24.8125,13.980171203613281,1024200
2000-06-27,24.9375,25.0625,24.25,24.3125,13.698454856872559,1267100
2000-06-28,23.5,23.6875,22.4375,23.6875,13.346307754516602,2307000
2000-06-29,23.0625,25.0,22.75,25.0,14.085816383361816,2140000
2000-06-30,24.5,25.125,24.125,24.8125,13.980171203613281,1432400
2000-07-03,24.625,24.625,24.0625,24.3125,13.698454856872559,691800
2000-07-05,24.1875,25.375,24.1875,25.0,14.085816383361816,1005500
2000-07-06,24.5,25.5,24.5,25.25,14.226675987243652,982000
2000-07-07,25.125,25.375,24.8125,25.3125,14.261890411376953,744700
2000-07-10,25.3125,25.4375,25.0,25.1875,14.191465377807617,612000
2000-07-11,24.9375,25.0625,24.5625,24.75,13.94495677947998,620000
2000-07-12,24.1875,25.1875,24.1875,25.0625,14.1210298538208,521500
2000-07-13,25.0625,26.0625,25.0,25.0,14.085816383361816,836100
2000-07-14,25.875,26.5625,25.8125,26.375,14.8605318069458,1902000
2000-07-17,26.5,26.5,25.25,25.375,14.297101020812988,1216800
2000-07-18,25.5,25.5,24.9375,25.3125,14.261890411376953,1261200
2000-07-19,25.25,25.4375,24.875,25.375,14.297101020812988,900000
2000-07-20,25.6875,27.0625,25.5,26.75,15.071825981140137,1874000
2000-07-21,26.5,26.6875,26.1875,26.3125,14.825325012207031,1237100
2000-07-24,26.375,26.9375,26.375,26.5625,14.966180801391602,1501800
2000-07-25,26.75,27.8125,26.625,27.1875,15.318327903747559,1639700
2000-07-26,27.3125,27.75,26.6875,27.5,15.494393348693848,1401900
2000-07-27,27.125,27.5,26.75,27.1875,15.318327903747559,773200
2000-07-28,27.1875,28.0,27.0625,28.0,15.77612018585205,1397300
2000-07-31,27.75,28.1875,27.75,28.125,15.846542358398438,1235900
2000-08-01,28.3125,29.25,28.3125,29.125,16.409976959228516,2133400
2000-08-02,29.5,30.5625,28.5625,28.75,16.19869041442871,4871600
2000-08-03,28.4375,29.375,28.25,28.375,15.987395286560059,3564500
2000-08-04,28.9375,29.875,28.8125,28.8125,16.233901977539062,1693900
2000-08-07,29.375,30.0625,29.0625,29.4375,16.586048126220703,2267400
2000-08-08,29.5,29.6875,28.875,29.1875,16.445192337036133,2136500
2000-08-09,29.5,29.8125,29.3125,29.5,16.621265411376953,2286100
2000-08-10,29.625,29.875,29.4375,29.625,16.691692352294922,750600
2000-08-11,29.25,29.875,29.25,29.625,16.691692352294922,685100
2000-08-14,29.625,30.0,28.875,29.25,16.480405807495117,1772500
2000-08-15,29.0,29.3125,28.8125,28.8125,16.233901977539062,924700
2000-08-16,28.5,28.5,27.75,28.0,15.77612018585205,1765300
2000-08-17,27.75,28.28125,27.4375,27.6875,15.600042343139648,979900
2000-08-18,27.5625,28.0,27.5,27.9375,15.740896224975586,522200
2000-08-21,27.9375,28.875,27.6875,28.4375,16.02261734008789,390000
2000-08-22,28.0625,29.3125,28.0625,29.1875,16.445192337036133,876900
2000-08-23,28.5,28.875,28.125,28.375,15.987395286560059,716000
