Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,13.78125,13.90625,13.71875,13.75,5.146828651428223,85400
2000-01-03,13.75,13.75,13.3125,13.40625,5.018157482147217,229400
2000-01-04,13.28125,13.46875,13.21875,13.40625,5.018157482147217,239600
2000-01-05,13.375,14.1875,13.375,14.0625,5.2638020515441895,284200
2000-01-06,14.0,14.25,13.84375,14.0625,5.2638020515441895,142800
2000-01-07,14.0625,14.3125,14.0,14.25,5.333988189697266,130400
2000-01-10,14.21875,14.34375,14.125,14.28125,5.345686435699463,205800
2000-01-11,14.21875,14.34375,14.1875,14.25,5.333988189697266,193400
2000-01-12,14.125,14.4375,14.09375,14.40625,5.3924713134765625,150200
2000-01-13,14.40625,14.625,14.40625,14.53125,5.439262390136719,177000
2000-01-14,14.625,14.625,14.21875,14.34375,5.36907958984375,226400
2000-01-18,14.25,14.375,14.03125,14.25,5.333988189697266,219800
2000-01-19,14.21875,14.46875,14.125,14.375,5.3807759284973145,247800
2000-01-20,14.3125,14.9375,14.125,14.9375,5.59132719039917,405200
2000-01-21,15.03125,17.375,15.0,16.71875,6.25807523727417,1513200
2000-01-24,16.71875,18.875,16.71875,17.3125,6.480323791503906,1821200
2000-01-25,17.3125,17.625,15.3125,15.625,5.848671913146973,584400
2000-01-26,15.625,15.625,15.09375,15.28125,5.71999979019165,1566800
2000-01-27,15.09375,15.09375,14.84375,14.9375,5.684322834014893,882600
2000-01-28,14.9375,14.9375,14.6875,14.84375,5.648643970489502,319000
2000-01-31,14.75,14.90625,14.6875,14.90625,5.672433376312256,315600
2000-02-01,14.90625,14.90625,14.75,14.90625,5.672433376312256,631000
2000-02-02,14.90625,14.90625,14.4375,14.4375,5.494051933288574,356200
2000-02-03,14.5625,14.75,14.5625,14.75,5.612973213195801,638200
2000-02-04,14.75,14.75,14.375,14.53125,5.529726982116699,237400
2000-02-07,14.5,14.5625,14.375,14.53125,5.529726982116699,159600
2000-02-08,14.59375,14.625,14.46875,14.5625,5.541618347167969,723000
2000-02-09,14.53125,14.6875,14.53125,14.65625,5.577293872833252,213000
2000-02-10,14.59375,15.0,14.59375,14.875,5.6605377197265625,492600
2000-02-11,14.84375,15.25,14.75,15.09375,5.743783473968506,303000
2000-02-14,15.15625,15.4375,15.03125,15.21875,5.791350364685059,222800
2000-02-15,15.28125,15.71875,15.1875,15.6875,5.969729423522949,343600
2000-02-16,15.6875,15.6875,15.46875,15.5625,5.92216157913208,172600
2000-02-17,15.5,15.625,15.375,15.46875,5.886484622955322,670800
2000-02-18,15.40625,15.46875,15.03125,15.125,5.755673408508301,173200
2000-02-22,15.09375,15.1875,14.78125,15.0,5.708107948303223,279200
