Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,36.8125,37.1875,36.375,36.4375,24.890958786010742,697200
2000-01-03,33.0,35.25,32.75,34.25,23.396629333496094,9266900
2000-01-04,34.3125,35.5,34.25,34.5,23.56741714477539,5109300
2000-01-05,35.0,36.9375,34.625,36.625,25.048067092895508,5841200
2000-01-06,36.5625,38.3125,36.3125,38.0,25.98843765258789,6130500
2000-01-07,39.75,43.0,39.3125,42.25,28.89505386352539,11537600
2000-01-10,41.625,43.25,41.4375,41.9375,28.68131446838379,6966700
2000-01-11,41.5625,43.0625,41.4375,42.125,28.80955696105957,4413700
2000-01-12,41.625,42.0625,41.3125,42.0625,28.766820907592773,3243300
2000-01-13,42.0,44.125,41.9375,43.5,29.749927520751953,5029300
2000-01-14,44.75,44.9375,43.625,43.875,30.006378173828125,5759600
2000-01-18,44.5,44.875,43.875,44.375,30.34834098815918,5947800
2000-01-19,44.625,45.625,44.25,44.9375,30.7330379486084,4288100
2000-01-20,45.75,46.125,44.0,44.0,30.09187889099121,6083200
2000-01-21,45.0,45.0,43.3125,43.5625,29.792682647705078,6105200
2000-01-24,44.25,44.9375,42.375,43.0625,29.450725555419922,5749800
2000-01-25,43.75,45.0,43.625,44.5625,30.47658920288086,3742800
2000-01-26,44.75,46.3125,44.5,46.125,31.545181274414062,6589300
2000-01-27,46.875,47.5,45.3125,46.4375,31.758901596069336,4539700
2000-01-28,46.1875,46.1875,44.3125,44.8125,30.64755630493164,3981200
2000-01-31,44.8125,45.75,43.25,45.75,31.288719177246094,3717100
2000-02-01,45.5,46.5,44.96875,46.375,31.716157913208008,2960700
2000-02-02,46.125,46.5625,44.75,45.0,30.77579116821289,3099000
2000-02-03,45.375,45.8125,44.0,45.75,31.288719177246094,3275900
2000-02-04,46.0,49.625,45.9375,48.0625,32.87025833129883,5717100
2000-02-07,47.875,49.25,47.5,49.25,33.68238067626953,4373700
2000-02-08,49.0,49.6875,48.6875,49.625,33.93885803222656,3328600
2000-02-09,49.5,49.6875,48.75,48.875,33.42593002319336,3685400
2000-02-10,49.0,49.1875,48.0,48.0,32.8275146484375,2088800
2000-02-11,48.75,48.75,45.0,46.0,31.459705352783203,6163300
2000-02-14,46.375,48.0625,46.1875,46.375,31.716157913208008,4625300
2000-02-15,46.625,46.625,44.875,45.4375,31.074987411499023,4631000
2000-02-16,45.4375,46.0,44.0625,44.25,30.262855529785156,4768700
2000-02-17,46.25,47.25,46.1875,46.5625,31.84440803527832,5653400
2000-02-18,47.5,48.375,47.375,47.6875,32.61380386352539,5579200
2000-02-22,48.0,49.875,47.6875,49.1875,33.639652252197266,4152000
2000-02-23,49.1875,49.25,47.5625,48.5,33.16946029663086,3148900
2000-02-24,49.0,49.9375,48.125,49.5,33.85337448120117,6309100
2000-02-25,49.75,49.8125,46.375,47.4375,32.44281768798828,3017400
2000-02-28,47.4375,49.5625,45.5625,48.0,32.8275146484375,5692500
2000-02-29,48.125,49.0,47.1875,48.4375,33.126712799072266,3287800
2000-03-01,48.375,49.3125,47.4375,49.125,33.59690856933594,2397400
2000-03-02,49.0,50.5,48.6875,49.0,33.51141357421875,3221400
2000-03-03,49.25,51.5,49.125,51.375,35.13570785522461,3125600
2000-03-06,52.25,52.9375,49.0625,49.5,33.85337448120117,6101200
2000-03-07,50.5,50.5,49.0625,49.5,33.85337448120117,3503100
2000-03-08,49.0,49.375,48.1875,48.9375,33.46866989135742,3249500
2000-03-09,48.5,50.1875,48.5,50.0,34.1953239440918,3474500
2000-03-10,50.0,52.1875,49.75,51.25,35.05022430419922,2983400
2000-03-13,50.25,51.9375,49.8125,50.1875,34.32355880737305,2100300
2000-03-14,50.375,50.5625,46.0,46.875,32.058109283447266,5478100
2000-03-15,47.5,49.75,46.5625,49.0,33.51141357421875,4447500
2000-03-16,49.75,53.75,49.3125,52.625,35.99057388305664,4219900
2000-03-17,52.75,54.8125,52.1875,52.6875,36.033329010009766,5073000
2000-03-20,52.875,53.875,52.5625,53.375,36.503501892089844,2401600
2000-03-21,53.5,53.5,50.5,53.25,36.418025970458984,6058300
2000-03-22,53.0,55.0,52.4375,54.75,37.44387435913086,3023100
2000-03-23,54.5,56.4375,53.0,56.0625,38.34150314331055,4397100
2000-03-24,55.8125,56.5625,54.875,55.0,37.6148567199707,3598900
2000-03-27,54.5,57.375,53.5,57.0,38.98267364501953,3683200
2000-03-28,56.0,57.875,55.0625,55.8125,38.17054748535156,4724700
2000-03-29,56.375,57.125,54.75,55.4375,37.9140739440918,4548100
2000-03-30,54.5,54.625,49.75,51.0,34.87922286987305,7870600
2000-03-31,51.75,53.125,50.875,51.4375,35.178436279296875,4488300
2000-04-03,53.0,55.75,52.875,55.125,37.700340270996094,3844500
2000-04-04,55.375,56.75,52.25,55.875,38.21327209472656,6795500
2000-04-05,55.0,56.625,54.5,55.875,38.24064636230469,4359400
2000-04-06,55.75,57.1875,55.5,55.9375,38.28341293334961,2629200
2000-04-07,56.5,57.375,55.8125,56.0625,38.36898422241211,2438000
2000-04-10,56.25,57.6875,55.9375,57.6875,39.481117248535156,2500800
2000-04-11,57.0,57.0625,55.5625,55.75,38.15509033203125,2408100
2000-04-12,55.9375,56.3125,53.9375,54.0625,37.000179290771484,2716700
2000-04-13,54.0,54.4375,50.5,51.125,34.98974609375,5164500
