Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,29.25,29.25,28.0,29.0,13.7605619430542,501700
2000-01-03,29.0,29.3125,27.625,27.75,13.167433738708496,1010500
2000-01-04,27.5,29.1875,27.5,28.4375,13.493659019470215,1194700
2000-01-05,28.25,28.8125,27.375,28.0,13.286059379577637,902200
2000-01-06,27.8125,28.8125,27.625,28.5625,13.552960395812988,2052500
2000-01-07,28.9375,29.5,28.75,29.5,13.997814178466797,1780600
2000-01-10,29.5,29.6875,28.375,28.9375,13.73090648651123,1312600
2000-01-11,28.9375,29.875,28.5625,28.625,13.582620620727539,834100
2000-01-12,28.875,29.0,27.625,28.25,13.404685974121094,878800
2000-01-13,28.4375,28.625,28.1875,28.3125,13.434346199035645,1297200
2000-01-14,29.5,29.875,28.5,28.75,13.641934394836426,2802000
2000-01-18,28.5625,30.25,28.5625,29.875,14.17574691772461,2117900
2000-01-19,29.75,29.8125,28.75,29.5,13.997814178466797,1081200
2000-01-20,29.375,31.0,29.375,30.6875,14.561284065246582,2006700
2000-01-21,31.75,31.75,30.6875,31.0,14.709568977355957,1416500
2000-01-24,31.75,31.75,30.5,30.5,14.472311019897461,1375000
2000-01-25,30.5,30.875,30.5,30.5625,14.501968383789062,1130300
2000-01-26,30.5,30.8125,30.4375,30.625,14.531622886657715,829700
2000-01-27,30.8125,31.5,30.5625,31.25,14.828194618225098,554800
2000-01-28,30.75,30.9375,29.5625,29.8125,14.146092414855957,1032900
2000-01-31,29.875,30.4375,29.75,29.9375,14.205405235290527,736800
2000-02-01,29.75,30.125,29.5,29.6875,14.086777687072754,618400
2000-02-02,29.6875,30.6875,29.6875,30.5625,14.501968383789062,863800
2000-02-03,31.375,31.875,27.0,27.5,13.048810958862305,3486000
2000-02-04,23.0,23.6875,21.0,23.5,11.150799751281738,14708000
2000-02-07,24.5,26.25,24.375,25.9375,12.30739688873291,6683000
2000-02-08,25.875,28.625,25.875,28.5,13.523310661315918,3148700
2000-02-09,27.0,27.9375,26.0625,26.125,12.396367073059082,3034800
2000-02-10,26.9375,26.9375,26.3125,26.4375,12.544647216796875,2317100
2000-02-11,26.3125,26.75,26.25,26.5,12.574301719665527,2473600
2000-02-14,26.5,27.8125,26.5,27.5,13.048810958862305,2504600
2000-02-15,27.25,28.1875,26.875,27.6875,13.137779235839844,2349400
2000-02-16,27.4375,27.9375,27.25,27.625,13.208308219909668,2049100
2000-02-17,27.375,27.8125,26.1875,26.1875,12.520988464355469,1812900
2000-02-18,26.0625,26.0625,24.0625,24.6875,11.80379867553711,2355900
2000-02-22,24.5,25.5,24.4375,25.1875,12.042864799499512,951800
2000-02-23,25.125,25.75,24.375,24.375,11.654378890991211,1029700
2000-02-24,24.0,24.875,23.4375,23.8125,11.385436058044434,1653800
2000-02-25,24.375,25.0,23.3125,23.5,11.2360200881958,1751600
2000-02-28,23.5,25.0625,23.5,24.375,11.654378890991211,1128800
2000-02-29,24.375,24.75,23.125,23.25,11.116490364074707,1225900
2000-03-01,23.125,24.0,22.6875,23.6875,11.325665473937988,2068500
2000-03-02,24.375,24.375,23.0625,23.8125,11.385436058044434,1070000
2000-03-03,23.5,24.4375,23.375,24.1875,11.564736366271973,789900
2000-03-06,24.4375,24.6875,23.0,23.125,11.056724548339844,1154600
2000-03-07,23.0625,23.0625,22.375,22.4375,10.728011131286621,1911200
2000-03-08,22.4375,23.25,22.3125,23.0625,11.026841163635254,1225000
2000-03-09,22.75,23.0625,22.0625,22.6875,10.847540855407715,1041700
2000-03-10,22.1875,22.4375,21.125,21.5,10.279766082763672,1619300
2000-03-13,21.5,22.3125,21.3125,22.0625,10.5487060546875,1402500
2000-03-14,21.9375,21.9375,21.1875,21.625,10.33952808380127,1183600
2000-03-15,21.25,23.6875,21.25,23.0625,11.026841163635254,1722400
2000-03-16,23.25,25.0625,23.1875,24.5,11.714151382446289,1305700
2000-03-17,25.0625,25.1875,24.5625,24.75,11.833684921264648,1548600
2000-03-20,24.75,24.9375,24.0,24.375,11.654378890991211,738600
2000-03-21,24.5,25.5,24.4375,25.1875,12.042864799499512,874000
2000-03-22,25.1875,25.3125,24.75,24.875,11.893449783325195,872700
2000-03-23,25.0,25.0,24.375,24.875,11.893449783325195,706800
2000-03-24,24.625,25.25,24.0,24.125,11.534854888916016,666900
2000-03-27,24.75,24.8125,23.9375,24.1875,11.564736366271973,573200
2000-03-28,24.125,24.4375,23.8125,23.8125,11.385436058044434,1029300
2000-03-29,23.875,24.4375,23.5625,24.375,11.654378890991211,1421800
2000-03-30,24.4375,24.4375,23.625,23.8125,11.385436058044434,1165700
2000-03-31,24.0,25.4375,23.875,24.8125,11.863558769226074,1168200
2000-04-03,25.25,25.9375,25.0,25.5625,12.222160339355469,1092700
2000-04-04,26.75,28.0,26.0,26.875,12.849705696105957,1669200
2000-04-05,26.875,27.25,26.625,26.6875,12.760053634643555,821400
2000-04-06,26.6875,27.5,26.4375,26.5,12.670403480529785,1112900
2000-04-07,26.5,26.6875,25.75,26.0625,12.461227416992188,870600
2000-04-10,26.25,26.4375,26.0,26.125,12.491106986999512,684900
2000-04-11,26.1875,26.4375,26.125,26.3125,12.580759048461914,867600
2000-04-12,27.0,27.25,26.5,27.0,12.909469604492188,1589100
2000-04-13,26.75,27.25,26.3125,27.25,13.02900505065918,865600
2000-04-14,26.625,26.625,24.75,25.25,12.072742462158203,1115300
2000-04-17,25.125,27.25,24.8125,27.25,13.02900505065918,1076100
2000-04-18,26.75,26.75,25.75,25.75,12.311806678771973,1492900
2000-04-19,26.375,26.375,25.5,25.75,12.311806678771973,1017400
2000-04-20,26.0,26.5625,26.0,26.25,12.550873756408691,1006000
2000-04-24,26.125,26.75,26.125,26.4375,12.640521049499512,777100
2000-04-25,26.4375,26.8125,26.3125,26.625,12.730164527893066,987100
2000-04-26,26.6875,26.75,26.25,26.4375,12.640521049499512,795600
2000-04-27,26.4375,26.4375,25.6875,26.0625,12.461227416992188,831600
2000-04-28,25.75,25.9375,25.0,25.1875,12.042864799499512,1271400
2000-05-01,25.0,25.3125,24.8125,25.0,11.95320987701416,975900
2000-05-02,25.1875,25.1875,24.25,24.6875,11.80379867553711,1036000
2000-05-03,25.0,26.625,24.875,26.125,12.491106986999512,2130800
2000-05-04,25.75,26.0625,25.0,25.125,12.012975692749023,1060300
2000-05-05,25.625,26.875,25.5,26.0,12.431343078613281,898300
2000-05-08,26.0625,27.5,25.75,27.5,13.148537635803223,1078500
2000-05-09,27.0,27.875,26.3125,26.6875,12.760053634643555,971300
2000-05-10,26.8125,27.125,26.3125,26.9375,12.87958812713623,712000
2000-05-11,27.125,28.5,27.0,27.3125,13.058886528015137,1244000
2000-05-12,27.3125,27.5,26.5,26.9375,12.87958812713623,1196000
2000-05-15,26.875,27.625,26.75,27.25,13.02900505065918,637300
2000-05-16,27.375,27.875,27.25,27.4375,13.11865520477295,665800
2000-05-17,27.5,27.875,27.4375,27.5625,13.178414344787598,620700
2000-05-18,27.25,27.3125,26.625,27.0,13.008577346801758,846800
2000-05-19,26.5,26.625,25.1875,25.625,12.346109390258789,1332200
2000-05-22,25.75,26.25,25.1875,25.5,12.285886764526367,551900
2000-05-23,25.1875,26.125,25.0625,25.75,12.406336784362793,433600
2000-05-24,25.5,26.5,25.5,26.375,12.707459449768066,582200
2000-05-25,26.375,26.625,24.8125,25.125,12.10521125793457,838000
2000-05-26,25.25,25.625,25.1875,25.5,12.285886764526367,358500
2000-05-30,25.75,26.375,25.5625,26.1875,12.617119789123535,562200
2000-05-31,26.0,26.625,26.0,26.25,12.647234916687012,775600
2000-06-01,26.25,27.1875,26.0,26.75,12.88813304901123,1143500
2000-06-02,26.75,27.375,26.4375,26.9375,12.978470802307129,1289600
2000-06-05,26.9375,27.3125,26.625,26.6875,12.85801887512207,558500
2000-06-06,26.625,26.8125,26.5,26.8125,12.918241500854492,393400
2000-06-07,26.9375,26.9375,26.5,26.5,12.767683982849121,413900
2000-06-08,26.5625,26.5625,25.875,26.0625,12.556893348693848,1257200
2000-06-09,26.3125,26.625,25.875,26.0,12.526786804199219,822500
2000-06-12,25.9375,26.375,25.5,25.5625,12.315999984741211,813600
2000-06-13,25.625,26.125,25.625,25.8125,12.43645191192627,672400
2000-06-14,26.0625,26.1875,25.6875,25.75,12.406336784362793,568800
2000-06-15,25.75,26.125,24.9375,24.9375,12.014873504638672,1339200
2000-06-16,24.5625,24.875,23.75,24.25,11.683637619018555,2708400
2000-06-19,24.4375,24.75,24.125,24.125,11.623407363891602,1172700
2000-06-20,24.25,24.25,23.875,23.875,11.502958297729492,1120100
2000-06-21,24.0625,24.125,23.75,23.8125,11.472847938537598,2130200
2000-06-22,23.875,24.1875,23.8125,24.0,11.56318187713623,788400
2000-06-23,24.0,24.0625,23.8125,23.8125,11.472847938537598,761900
2000-06-26,24.0,24.875,24.0,24.375,11.743860244750977,1040700
2000-06-27,24.125,25.75,24.125,25.625,12.346109390258789,1157100
2000-06-28,25.4375,26.1875,25.0625,25.265625,12.172964096069336,928100
2000-06-29,25.375,26.5625,25.1875,25.8125,12.43645191192627,1003900
2000-06-30,26.0,26.3125,25.734375,25.75,12.406336784362793,1475200
2000-07-03,25.9375,26.4375,25.75,26.0625,12.556893348693848,382700
2000-07-05,26.3125,26.625,26.25,26.25,12.647234916687012,501800
2000-07-06,26.5,26.6875,26.1875,26.5625,12.797792434692383,509600
2000-07-07,26.3125,26.625,25.75,26.3125,12.677347183227539,1261200
2000-07-10,26.25,26.5,26.1875,26.5,12.767683982849121,853500
2000-07-11,26.25,26.625,25.9375,26.25,12.647234916687012,968000
2000-07-12,26.0,26.5,26.0,26.5,12.767683982849121,1174300
2000-07-13,26.3125,26.6875,26.25,26.5,12.767683982849121,911300
2000-07-14,26.625,27.8125,26.5,27.6875,13.339816093444824,892300
2000-07-17,27.5,27.5,27.0,27.21875,13.113977432250977,736200
2000-07-18,27.25,27.75,27.1875,27.6875,13.339816093444824,834500
2000-07-19,27.5625,28.0,27.3125,28.0,13.49038314819336,1667000
2000-07-20,28.25,28.4375,28.0,28.125,13.550606727600098,1102900
2000-07-21,28.0,28.1875,27.8125,28.0,13.49038314819336,796600
2000-07-24,27.75,28.3125,27.75,28.3125,13.640942573547363,1135000
2000-07-25,28.3125,28.4375,28.0625,28.4375,13.701171875,631400
2000-07-26,28.4375,28.9375,28.3125,28.5,13.731281280517578,860300
2000-07-27,28.5,29.0625,27.3125,27.4375,13.21937084197998,1790800
2000-07-28,27.5,28.0,26.8125,27.0,13.008577346801758,1082400
2000-07-31,27.0,27.25,26.9375,26.9375,12.978470802307129,2788900
2000-08-01,26.875,27.125,26.8125,27.0625,13.0386962890625,1079800
2000-08-02,27.0,27.0,26.0625,26.3125,12.677347183227539,805200
2000-08-03,26.5,26.8125,25.8125,26.0,12.526786804199219,673600
2000-08-04,26.5625,26.75,25.875,26.1875,12.617119789123535,1065800
2000-08-07,26.0625,26.5625,25.6875,26.0,12.526786804199219,972000
