Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,14.5625,14.625,14.28125,14.28125,10.214761734008789,128400
2000-01-03,14.40625,14.40625,13.78125,13.96875,9.991242408752441,474400
2000-01-04,14.0,14.0,13.15625,13.21875,9.454798698425293,285400
2000-01-05,13.0,13.0,12.6875,12.96875,9.275986671447754,608200
2000-01-06,12.96875,12.96875,12.34375,12.96875,9.275986671447754,962400
2000-01-07,13.125,13.21875,12.8125,13.21875,9.454798698425293,696200
2000-01-10,13.21875,13.59375,13.21875,13.3125,9.521854400634766,1859000
2000-01-11,13.1875,13.3125,12.9375,13.15625,9.41009521484375,1087400
2000-01-12,13.15625,13.15625,12.84375,13.125,9.387744903564453,325200
2000-01-13,13.0,13.15625,13.0,13.09375,9.365392684936523,634800
2000-01-14,13.09375,13.3125,12.75,12.84375,9.186580657958984,1092400
2000-01-18,12.71875,12.78125,12.53125,12.6875,9.074821472167969,657400
2000-01-19,12.6875,13.0625,12.5,12.96875,9.275986671447754,1380800
2000-01-20,12.9375,12.9375,12.46875,12.75,9.119524955749512,842600
2000-01-21,13.0,13.0,12.53125,12.78125,9.141874313354492,768400
2000-01-24,12.6875,13.5,12.6875,13.4375,9.611260414123535,1606200
2000-01-25,13.6875,14.125,13.0625,14.0,10.013594627380371,1077600
2000-01-26,18.5,20.0625,17.53125,19.03125,13.612231254577637,6552000
2000-01-27,19.0,20.625,18.9375,20.28125,14.506309509277344,3556400
2000-01-28,20.125,20.1875,19.71875,20.0,14.30514144897461,1904400
2000-01-31,19.78125,20.1875,19.3125,19.3125,13.813390731811523,1696800
2000-02-01,19.375,20.0,19.0,20.0,14.30514144897461,2197000
2000-02-02,19.96875,19.96875,19.53125,19.625,14.03691577911377,944800
2000-02-03,19.6875,20.5,19.6875,20.1875,14.439245223999023,2066200
2000-02-04,20.3125,20.3125,19.84375,19.96875,14.282782554626465,540200
2000-02-07,20.0,20.625,19.84375,20.5625,14.707465171813965,899200
2000-02-08,21.25,22.0,21.0625,21.59375,15.445075035095215,836000
2000-02-09,21.5,23.78125,21.5,22.875,16.36149787902832,1692600
2000-02-10,22.875,23.0,22.1875,22.40625,16.02621841430664,629200
2000-02-11,22.53125,22.71875,21.625,22.0,15.73564624786377,808800
2000-02-14,22.0,22.21875,21.625,21.65625,15.489785194396973,673400
2000-02-15,21.625,22.28125,21.625,21.90625,15.668591499328613,790200
2000-02-16,21.84375,22.1875,21.5625,22.0625,15.780352592468262,468200
2000-02-17,22.0,22.15625,21.6875,21.8125,15.601534843444824,698600
2000-02-18,21.8125,21.8125,20.9375,21.21875,15.176854133605957,408000
2000-02-22,21.25,21.25,19.5,20.25,14.483952522277832,761600
2000-02-23,20.25,20.875,20.125,20.40625,14.595708847045898,591800
2000-02-24,20.34375,20.9375,20.3125,20.75,14.841577529907227,1799400
2000-02-25,20.75,21.21875,20.75,20.75,14.841577529907227,820200
2000-02-28,20.0,20.25,19.1875,20.25,14.483952522277832,545200
2000-02-29,20.5,21.125,20.28125,21.125,15.109794616699219,964200
2000-03-01,21.125,21.90625,21.0,21.875,15.646245002746582,410200
2000-03-02,22.125,22.3125,21.125,21.3125,15.243910789489746,416200
2000-03-03,21.34375,21.5,20.15625,20.75,14.841577529907227,788000
2000-03-06,20.75,20.75,20.53125,20.6875,14.79687786102295,420400
2000-03-07,20.71875,20.71875,20.09375,20.46875,14.640408515930176,602000
2000-03-08,20.125,20.125,19.15625,19.34375,13.835748672485352,369200
2000-03-09,19.34375,19.90625,19.3125,19.90625,14.238080978393555,583400
2000-03-10,19.90625,20.1875,19.90625,20.03125,14.327488899230957,535800
2000-03-13,19.96875,19.96875,19.0625,19.28125,13.791049003601074,575200
2000-03-14,19.28125,19.84375,19.25,19.6875,14.081623077392578,394200
2000-03-15,19.6875,20.46875,19.5,20.46875,14.640408515930176,648200
2000-03-16,20.5,20.5,20.25,20.34375,14.551007270812988,1256600
