Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,10.4375,10.875,10.25,10.25,7.638906002044678,489600
2000-01-03,10.25,10.3125,10.0,10.0625,7.499164581298828,383100
2000-01-04,10.0625,10.125,9.6875,9.75,7.266274929046631,321700
2000-01-05,9.75,9.875,9.5,9.6875,7.21969747543335,327600
2000-01-06,9.5625,9.875,9.125,9.875,7.35943078994751,663900
2000-01-07,9.75,9.875,9.375,9.75,7.266274929046631,313000
2000-01-10,9.8125,10.0,9.625,9.875,7.35943078994751,401000
2000-01-11,9.875,10.25,9.6875,9.6875,7.21969747543335,448000
2000-01-12,9.6875,11.1875,9.6875,11.0,8.197851181030273,751200
2000-01-13,11.375,11.9375,11.25,11.625,8.663634300231934,851500
2000-01-14,11.6875,11.75,11.125,11.375,8.477319717407227,422400
2000-01-18,11.5625,11.6875,11.0,11.125,8.291007041931152,216600
2000-01-19,11.0,11.0,10.625,10.625,7.918375015258789,232600
2000-01-20,10.625,10.75,10.3125,10.5625,7.871795177459717,233200
2000-01-21,10.5625,10.625,10.25,10.3125,7.68548059463501,272200
2000-01-24,10.1875,10.4375,10.0,10.0,7.4525909423828125,268300
2000-01-25,10.0,10.1875,9.8125,10.0,7.4525909423828125,274700
2000-01-26,10.125,10.9375,9.9375,10.75,8.011534690856934,648500
2000-01-27,10.5,10.625,10.25,10.5,7.82521915435791,274600
2000-01-28,10.5625,10.5625,10.1875,10.1875,7.5923261642456055,321200
2000-01-31,10.0625,10.5625,10.0,10.5,7.82521915435791,309100
2000-02-01,10.5625,11.375,10.5625,11.125,8.291007041931152,347900
2000-02-02,11.25,12.125,11.25,11.75,8.756792068481445,908500
2000-02-03,11.8125,12.0,11.125,11.25,8.384162902832031,553600
2000-02-04,11.5,11.625,11.0,11.375,8.477319717407227,348700
2000-02-07,11.25,11.3125,10.9375,11.0,8.197851181030273,292300
2000-02-08,11.125,11.25,10.9375,11.1875,8.33758544921875,196500
2000-02-09,11.1875,11.25,11.0625,11.1875,8.33758544921875,326700
2000-02-10,11.1875,11.5,10.9375,11.3125,8.430741310119629,943200
2000-02-11,11.375,11.5,11.125,11.125,8.291007041931152,1692500
2000-02-14,11.0,11.0625,10.75,10.875,8.104692459106445,242400
2000-02-15,10.8125,11.0,10.625,10.8125,8.058112144470215,405200
2000-02-16,10.9375,10.9375,10.625,10.75,8.011534690856934,277300
2000-02-17,10.75,10.8125,10.5,10.5,7.82521915435791,197600
2000-02-18,10.6875,10.75,10.375,10.5,7.82521915435791,176000
2000-02-22,10.6875,10.8125,10.25,10.375,7.732062339782715,355000
2000-02-23,10.375,10.375,10.1875,10.3125,7.68548059463501,242400
2000-02-24,10.375,10.375,10.0,10.1875,7.5923261642456055,187700
2000-02-25,10.3125,10.375,10.0,10.0625,7.499164581298828,187100
2000-02-28,10.0625,10.0625,9.875,9.875,7.35943078994751,171700
2000-02-29,10.0,10.0625,9.6875,9.6875,7.21969747543335,264700
2000-03-01,9.6875,9.8125,9.5,9.75,7.266274929046631,273400
2000-03-02,9.75,10.3125,9.4375,9.6875,7.21969747543335,337300
2000-03-03,9.625,10.1875,9.625,10.125,7.545746803283691,261300
2000-03-06,10.0,10.125,9.8125,9.8125,7.312857151031494,170000
2000-03-07,9.8125,10.125,9.71875,9.75,7.266274929046631,733100
2000-03-08,9.6875,9.875,9.3125,9.5,7.079958438873291,273800
2000-03-09,9.5,9.625,9.3125,9.5,7.079958438873291,242300
2000-03-10,9.4375,10.4375,9.4375,10.4375,7.778641700744629,404800
2000-03-13,10.0,10.25,9.6875,10.25,7.638906002044678,270700
2000-03-14,10.1875,10.25,9.875,10.0,7.4525909423828125,242000
2000-03-15,9.9375,10.3125,9.8125,10.0,7.4525909423828125,279600
2000-03-16,10.0,10.125,9.875,10.0625,7.499164581298828,921200
2000-03-17,10.0,10.0,9.8125,9.9375,7.406012058258057,451100
