Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,48.9375,49.28125,48.3125,48.3125,32.192081451416016,5705600
2000-01-03,49.75,51.9375,48.0625,51.4375,34.274356842041016,10815600
2000-01-04,50.75,50.8125,48.875,49.25,32.81675720214844,7952400
2000-01-05,49.25,49.625,47.8125,48.0625,32.02549743652344,12142400
2000-01-06,48.1875,48.75,45.25,46.75,31.150928497314453,11758400
2000-01-07,46.28125,47.5625,45.6875,47.0,31.317506790161133,12938800
2000-01-10,49.21875,50.625,48.75,50.21875,33.46226501464844,9371200
2000-01-11,50.25,51.4375,49.28125,49.75,33.149925231933594,7636400
2000-01-12,49.625,51.53125,49.21875,50.5,33.6496467590332,6697600
2000-01-13,51.25,51.90625,49.3125,51.1875,34.10778045654297,6548200
2000-01-14,52.4375,54.0625,52.375,53.9375,35.94016647338867,8829000
2000-01-18,52.5,55.6875,52.5,55.1875,36.77309799194336,8800800
2000-01-19,55.96875,56.0,54.6875,54.75,36.4815673828125,6658400
2000-01-20,56.0,57.53125,55.40625,56.4375,37.606014251708984,9374600
2000-01-21,57.375,57.5625,54.96875,55.3984375,36.91362380981445,8594600
2000-01-24,57.25,58.75,54.0,55.4375,36.93967056274414,10265000
2000-01-25,56.4375,58.625,55.5625,56.9375,37.939178466796875,15104800
2000-01-26,56.65625,56.75,54.9375,56.25,37.481075286865234,8639600
2000-01-27,56.125,58.25,54.84375,56.5,37.66204833984375,9990800
2000-01-28,56.03125,56.625,52.46875,53.5625,35.70395278930664,9993400
2000-01-31,53.46875,54.0,51.0,53.875,35.91225051879883,9603000
2000-02-01,53.8125,56.6875,52.9375,56.5625,37.703704833984375,7616600
2000-02-02,57.6875,60.25,57.21875,59.6875,39.78677749633789,10920800
2000-02-03,60.5,67.25,60.28125,67.0,44.66119384765625,14903400
2000-02-04,65.875,69.5,65.125,66.0,43.9946174621582,11947600
2000-02-07,65.625,67.71875,65.625,67.25,44.82785415649414,7854400
2000-02-08,67.5625,69.8125,67.375,69.4375,46.28600311279297,7639600
2000-02-09,69.5625,71.5625,69.0625,70.4375,46.952571868896484,9807600
2000-02-10,70.3125,72.5,69.0,72.5,48.327423095703125,6801800
2000-02-11,71.5,71.625,68.0,68.8125,45.8693733215332,8288600
2000-02-14,69.375,69.625,66.0,67.3125,44.8695068359375,8250200
2000-02-15,67.3125,67.90625,65.125,67.46875,44.9736442565918,7677600
2000-02-16,67.9375,69.875,67.65625,67.875,45.24446105957031,8574000
2000-02-17,67.96875,72.5,67.96875,71.5,47.660823822021484,8459800
2000-02-18,72.5,72.5,67.0,67.0,44.66119384765625,9154600
2000-02-22,71.0,75.0,68.75,74.5,49.66058349609375,15547200
2000-02-23,74.40625,76.5625,72.25,73.5625,49.035667419433594,11989800
2000-02-24,74.5,79.5,74.3125,78.875,52.576904296875,13451600
2000-02-25,78.6875,80.375,76.375,76.625,51.07706069946289,9430200
2000-02-28,76.625,78.75,73.0,77.9375,51.951969146728516,12205400
2000-02-29,78.5,84.84375,78.5,83.0625,55.36819076538086,11302200
2000-03-01,83.71875,85.0,78.875,82.1875,54.78496170043945,10125800
