Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,9.59375,9.71875,9.5625,9.625,4.589118480682373,307400
2000-01-03,9.75,9.75,9.46875,9.53125,4.544419288635254,592800
2000-01-04,9.5,9.625,9.46875,9.59375,4.574218273162842,535800
2000-01-05,9.625,10.125,9.59375,10.03125,4.782815933227539,708400
2000-01-06,10.15625,10.15625,9.9375,10.0,4.767918586730957,680400
2000-01-07,10.03125,10.15625,10.0,10.125,4.827512741088867,376200
2000-01-10,10.25,10.25,10.0625,10.125,4.827512741088867,911400
2000-01-11,10.1875,10.1875,10.0,10.0,4.767918586730957,950600
2000-01-12,10.0625,10.21875,10.0625,10.1875,4.857312202453613,628400
2000-01-13,10.25,10.25,10.0625,10.09375,4.812616348266602,485200
2000-01-14,10.15625,10.15625,9.9375,9.9375,4.738115310668945,628800
2000-01-18,9.9375,9.96875,9.65625,9.75,4.648718357086182,605200
2000-01-19,9.8125,10.0,9.75,10.0,4.767918586730957,382000
2000-01-20,9.9375,10.0,9.875,9.9375,4.738115310668945,475200
2000-01-21,9.96875,10.21875,9.9375,10.15625,4.842414379119873,620800
2000-01-24,10.1875,10.3125,10.15625,10.15625,4.842414379119873,880800
2000-01-25,10.15625,10.21875,10.03125,10.09375,4.812616348266602,752400
2000-01-26,10.0625,10.15625,10.03125,10.0625,4.797714710235596,468600
2000-01-27,10.09375,10.125,9.90625,10.0,4.767918586730957,566600
2000-01-28,10.125,10.125,9.78125,9.90625,4.723215579986572,852200
2000-01-31,9.9375,9.96875,9.875,9.875,4.708316802978516,786800
2000-02-01,9.9375,10.0,9.84375,9.9375,4.738115310668945,467400
2000-02-02,10.0625,10.21875,10.0,10.09375,4.812616348266602,501200
2000-02-03,10.125,10.59375,10.09375,10.46875,4.991411209106445,795800
2000-02-04,10.375,10.40625,10.0625,10.1875,4.857312202453613,474200
2000-02-07,10.1875,10.1875,9.875,9.875,4.708316802978516,842000
2000-02-08,10.0625,10.21875,10.0,10.03125,4.782815933227539,420800
2000-02-09,10.0,10.125,9.96875,10.03125,4.782815933227539,5588800
2000-02-10,9.8125,9.96875,9.5625,9.65625,4.6952900886535645,1075800
2000-02-11,9.6875,9.75,9.40625,9.4375,4.588925361633301,892200
2000-02-14,9.46875,9.5,9.4375,9.5,4.619316101074219,607800
2000-02-15,9.5,9.5,9.4375,9.4375,4.588925361633301,582000
2000-02-16,9.40625,9.4375,9.375,9.4375,4.588925361633301,394800
2000-02-17,9.4375,9.46875,9.34375,9.4375,4.588925361633301,444400
2000-02-18,9.375,9.4375,9.21875,9.34375,4.543341159820557,343800
2000-02-22,9.40625,9.40625,9.28125,9.28125,4.5129499435424805,497400
2000-02-23,9.3125,9.3125,9.125,9.21875,4.482560157775879,519000
2000-02-24,9.21875,9.25,8.71875,8.8125,4.285023212432861,880600
2000-02-25,8.75,8.84375,8.6875,8.75,4.254632472991943,1185600
2000-02-28,8.75,8.875,8.65625,8.84375,4.300218105316162,1372800
2000-02-29,8.875,8.90625,8.78125,8.84375,4.300218105316162,747400
2000-03-01,8.84375,8.875,8.6875,8.6875,4.224241256713867,515000
2000-03-02,8.84375,8.96875,8.78125,8.9375,4.345804691314697,524000
2000-03-03,8.9375,8.96875,8.8125,8.84375,4.300218105316162,528800
2000-03-06,8.84375,8.875,8.5,8.53125,4.14826774597168,860600
2000-03-07,8.53125,8.65625,8.53125,8.5625,4.163461685180664,887200
2000-03-08,8.65625,8.6875,8.40625,8.40625,4.087487697601318,1244600
2000-03-09,8.4375,8.65625,8.4375,8.59375,4.1786580085754395,619400
2000-03-10,8.59375,8.65625,8.5,8.5625,4.163461685180664,462200
2000-03-13,8.59375,8.625,8.5,8.59375,4.1786580085754395,426800
2000-03-14,8.59375,8.71875,8.53125,8.65625,4.209047317504883,564600
2000-03-15,8.71875,9.1875,8.6875,9.0,4.376194953918457,756800
2000-03-16,9.25,9.75,9.1875,9.59375,4.664900779724121,979000
2000-03-17,9.46875,9.65625,9.28125,9.5,4.619316101074219,671000
2000-03-20,9.53125,9.625,9.5,9.5,4.619316101074219,321000
2000-03-21,9.53125,9.59375,9.5,9.5625,4.649704933166504,444200
2000-03-22,9.53125,9.5625,9.03125,9.21875,4.482560157775879,1261600
2000-03-23,9.28125,9.375,9.25,9.375,4.558535575866699,734800
2000-03-24,9.375,9.46875,9.3125,9.3125,4.528143405914307,346000
2000-03-27,9.28125,9.4375,9.28125,9.375,4.558535575866699,525400
2000-03-28,9.40625,9.46875,9.28125,9.40625,4.573729515075684,497200
2000-03-29,9.5,9.65625,9.5,9.65625,4.6952900886535645,654600
2000-03-30,9.6875,9.96875,9.6875,9.8125,4.771265983581543,627200
2000-03-31,9.90625,9.96875,9.78125,9.96875,4.847240924835205,807400
2000-04-03,9.96875,10.0625,9.90625,10.0625,4.892827987670898,906400
2000-04-04,10.0,10.28125,9.96875,10.09375,4.908024787902832,912800
2000-04-05,10.125,10.4375,10.0625,10.21875,4.9688029289245605,543400
2000-04-06,10.25,10.375,10.0625,10.15625,4.938413143157959,417000
2000-04-07,10.03125,10.15625,9.9375,10.03125,4.877634048461914,344600
2000-04-10,10.03125,10.21875,9.90625,10.1875,4.953607082366943,404400
2000-04-11,10.21875,10.3125,10.15625,10.28125,4.999192714691162,486200
2000-04-12,10.3125,10.625,10.28125,10.46875,5.0903639793396,474200
2000-04-13,10.3125,10.75,10.3125,10.71875,5.211924076080322,486600
2000-04-14,10.75,10.8125,10.375,10.4375,5.075169086456299,431000
2000-04-17,10.4375,10.625,10.21875,10.625,5.16633939743042,578000
2000-04-18,10.65625,10.65625,10.46875,10.625,5.16633939743042,350800
2000-04-19,10.5625,10.59375,10.25,10.53125,5.120754241943359,615600
2000-04-20,10.53125,10.5625,10.375,10.4375,5.075169086456299,1072200
2000-04-24,10.46875,10.90625,10.4375,10.78125,5.242315292358398,592400
2000-04-25,10.78125,11.28125,10.78125,11.21875,5.4550461769104,800800
2000-04-26,11.25,11.46875,11.21875,11.40625,5.546219348907471,617000
2000-04-27,11.25,11.28125,10.84375,10.90625,5.30309534072876,1040600
2000-04-28,10.875,10.875,10.625,10.6875,5.196728706359863,613600
2000-05-01,10.6875,10.75,10.53125,10.75,5.227120876312256,673400
2000-05-02,10.59375,10.625,10.125,10.15625,4.938413143157959,1787800
2000-05-03,10.21875,10.28125,10.09375,10.25,4.983998775482178,808400
2000-05-04,10.25,10.40625,10.15625,10.40625,5.059972763061523,933400
2000-05-05,10.40625,10.40625,10.09375,10.125,4.923216819763184,742800
2000-05-08,10.25,10.65625,10.1875,10.5,5.105559349060059,858000
2000-05-09,10.59375,10.625,10.4375,10.625,5.16633939743042,5736800
2000-05-10,10.5,10.5,10.40625,10.4375,5.1700568199157715,892400
2000-05-11,10.4375,10.625,10.4375,10.625,5.262929916381836,500000
2000-05-12,10.625,10.65625,10.3125,10.375,5.139095306396484,340400
2000-05-15,10.46875,10.59375,10.3125,10.40625,5.154577255249023,458200
2000-05-16,10.46875,10.46875,10.3125,10.46875,5.1855340003967285,349400
2000-05-17,10.4375,10.4375,10.03125,10.15625,5.030740737915039,440600
2000-05-18,10.25,10.46875,10.09375,10.25,5.0771803855896,371000
2000-05-19,10.28125,10.4375,10.1875,10.28125,5.092657566070557,525800
2000-05-22,10.34375,10.59375,10.28125,10.46875,5.1855340003967285,482600
2000-05-23,10.5,10.53125,10.375,10.40625,5.154577255249023,450600
2000-05-24,10.40625,10.71875,10.40625,10.53125,5.216490268707275,720000
2000-05-25,10.5625,10.59375,10.34375,10.375,5.139095306396484,381600
2000-05-26,10.5,10.71875,10.46875,10.59375,5.247450351715088,699600
2000-05-30,10.59375,10.65625,10.28125,10.4375,5.1700568199157715,390400
2000-05-31,10.5625,10.625,10.5,10.5625,5.231971263885498,489200
2000-06-01,10.625,10.625,10.46875,10.53125,5.216490268707275,490000
2000-06-02,10.625,10.6875,10.3125,10.3125,5.108138084411621,915600
2000-06-05,10.3125,10.34375,10.0,10.125,5.015260696411133,504800
2000-06-06,10.09375,10.3125,10.09375,10.1875,5.0462212562561035,477000
2000-06-07,10.25,10.28125,10.1875,10.21875,5.061699390411377,383400
2000-06-08,10.09375,10.15625,10.0625,10.09375,4.999783515930176,564400
2000-06-09,10.125,10.375,10.125,10.28125,5.092657566070557,469800
2000-06-12,10.34375,10.40625,10.25,10.34375,5.123617649078369,308200
2000-06-13,10.28125,10.40625,10.28125,10.34375,5.123617649078369,355400
2000-06-14,10.40625,10.46875,10.3125,10.34375,5.123617649078369,497200
2000-06-15,10.21875,10.6875,10.21875,10.59375,5.247450351715088,550600
2000-06-16,10.4375,10.625,10.4375,10.5625,5.231971263885498,547800
2000-06-19,10.5,10.59375,10.375,10.40625,5.154577255249023,433600
2000-06-20,10.40625,10.5,10.21875,10.3125,5.108138084411621,509600
2000-06-21,10.3125,10.34375,10.0625,10.125,5.015260696411133,2069400
2000-06-22,10.15625,10.21875,9.9375,9.9375,4.922386646270752,446200
2000-06-23,10.0625,10.25,10.03125,10.1875,5.0462212562561035,441200
2000-06-26,10.1875,10.1875,10.09375,10.125,5.015260696411133,435000
2000-06-27,10.15625,10.53125,10.09375,10.25,5.0771803855896,1201800
2000-06-28,10.28125,10.4375,10.125,10.4375,5.1700568199157715,469800
2000-06-29,10.40625,10.46875,10.28125,10.34375,5.123617649078369,573400
2000-06-30,10.34375,10.59375,9.90625,9.90625,4.90690803527832,1120400
2000-07-03,10.0,10.375,10.0,10.21875,5.061699390411377,249400
2000-07-05,10.25,10.46875,10.09375,10.09375,4.999783515930176,350800
2000-07-06,10.09375,10.34375,10.0625,10.3125,5.108138084411621,396400
2000-07-07,10.3125,10.34375,10.25,10.3125,5.108138084411621,376400
2000-07-10,10.21875,10.53125,10.21875,10.46875,5.1855340003967285,302400
2000-07-11,10.375,10.5,10.375,10.5,5.201010227203369,453800
2000-07-12,10.5,10.59375,10.46875,10.5,5.201010227203369,323600
2000-07-13,10.53125,10.5625,10.46875,10.5,5.201010227203369,615800
2000-07-14,10.5625,10.59375,10.28125,10.375,5.139095306396484,530200
2000-07-17,10.40625,10.4375,10.28125,10.3125,5.108138084411621,313000
2000-07-18,10.40625,10.46875,10.34375,10.34375,5.123617649078369,321400
2000-07-19,10.40625,10.5625,10.34375,10.4375,5.1700568199157715,398600
2000-07-20,10.375,10.46875,10.3125,10.3125,5.108138084411621,336400
2000-07-21,10.3125,10.3125,10.15625,10.1875,5.0462212562561035,520200
2000-07-24,10.25,10.25,9.90625,10.03125,4.96882438659668,679000
2000-07-25,10.0625,10.1875,10.0,10.09375,4.999783515930176,586200
2000-07-26,10.09375,10.132813453674316,10.0,10.03125,4.96882438659668,310800
2000-07-27,10.15625,10.25,10.0625,10.09375,4.999783515930176,315400
2000-07-28,9.96875,10.25,9.9375,10.09375,4.999783515930176,517000
2000-07-31,10.0,10.125,9.9375,9.9375,4.922386646270752,353800
2000-08-01,10.0625,10.125,9.96875,10.03125,4.96882438659668,559800
2000-08-02,10.09375,10.28125,10.0,10.21875,5.061699390411377,875800
2000-08-03,10.25,10.65625,10.25,10.445313453674316,5.173925399780273,948200
2000-08-04,10.4375,10.5625,10.21875,10.46875,5.1855340003967285,494000
2000-08-07,10.34375,10.625,10.34375,10.601563453674316,5.2513227462768555,1060800
2000-08-08,10.625,10.6875,10.46875,10.5625,5.231971263885498,521200
2000-08-09,10.59375,10.59375,10.3125,10.53125,5.216490268707275,5695400
2000-08-10,10.375,10.40625,10.25,10.382813453674316,5.239992141723633,499200
2000-08-11,10.28125,10.5625,10.28125,10.476563453674316,5.28730583190918,828000
2000-08-14,10.5,10.6875,10.40625,10.53125,5.31490421295166,453400
